	basename	author	title	genre	subgenre	placeName	occurrences	coord
32	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Byzance	1	41.005902, 28.9738815
33	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Chaldée	1	40.5, 39.5
34	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Danube	1	45.33333, 29.66667
35	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Espagne	2	40, -4
36	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Euphrate	1	34.606583632, 41.3596819651
37	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Europe	1	48.69096, 9.14062
38	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	France	4	46, 2
39	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Grèce	1	39, 22
40	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Inde	1	22.5, 77.5
41	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Italie	1	42.83333, 12.83333
42	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Léon	1	42.66667, -6
43	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Mexique	1	23, -102
44	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Moscovie	1	55.75222, 37.61556
45	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Mycènes	1	37.7300345711, 22.7540710459
46	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Paris	11	48.85341, 2.3488
47	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Perse	1	32, 53
48	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Rome	1	41.89193, 12.51133
49	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Rome	1	41.89193, 12.51133
