	basename	author	title	genre	subgenre	placeName	occurrences	coord
33	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Mexique	1	23, -102
34	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Moscovie	1	55.75222, 37.61556
35	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Mycènes	1	37.7300345711, 22.7540710459
36	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Paris	11	48.85341, 2.3488
37	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Perse	1	32, 53
38	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Rome	1	41.89193, 12.51133
39	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Rome	1	41.89193, 12.51133
40	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Syrie	1	37.5, 37.5
41	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Tyr	1	33.2698475, 35.2038435
42	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Vésuve	1	40.82293, 14.42874
43	JODELLE_DIDON	JODELLE, Étienne	DIDON SE SACRIFIANT, TRAGÉDIE.	theatre	tragedy	Afrique	4	32.5, 7.5
44	JODELLE_DIDON	JODELLE, Étienne	DIDON SE SACRIFIANT, TRAGÉDIE.	theatre	tragedy	Amathonte	1	34.71292, 33.1429
45	JODELLE_DIDON	JODELLE, Étienne	DIDON SE SACRIFIANT, TRAGÉDIE.	theatre	tragedy	Asie	1	29.84064, 89.29688
46	JODELLE_DIDON	JODELLE, Étienne	DIDON SE SACRIFIANT, TRAGÉDIE.	theatre	tragedy	Corinthe	1	37.8980016198, 22.8999795422
47	JODELLE_DIDON	JODELLE, Étienne	DIDON SE SACRIFIANT, TRAGÉDIE.	theatre	tragedy	Crète	1	35.0627201667, 24.9469437222
48	JODELLE_DIDON	JODELLE, Étienne	DIDON SE SACRIFIANT, TRAGÉDIE.	theatre	tragedy	Grèce	2	39, 22
49	JODELLE_DIDON	JODELLE, Étienne	DIDON SE SACRIFIANT, TRAGÉDIE.	theatre	tragedy	Italie	5	42.83333, 12.83333
50	JODELLE_DIDON	JODELLE, Étienne	DIDON SE SACRIFIANT, TRAGÉDIE.	theatre	tragedy	Libye	4	28.9188417513, 22.0840920328
51	JODELLE_DIDON	JODELLE, Étienne	DIDON SE SACRIFIANT, TRAGÉDIE.	theatre	tragedy	Lycie	2	36.5135325, 29.129311
52	JODELLE_DIDON	JODELLE, Étienne	DIDON SE SACRIFIANT, TRAGÉDIE.	theatre	tragedy	Mycènes	2	37.7300345711, 22.7540710459
53	JODELLE_DIDON	JODELLE, Étienne	DIDON SE SACRIFIANT, TRAGÉDIE.	theatre	tragedy	Paris	3	48.85341, 2.3488
54	JODELLE_DIDON	JODELLE, Étienne	DIDON SE SACRIFIANT, TRAGÉDIE.	theatre	tragedy	Rome	2	41.89193, 12.51133
55	JODELLE_DIDON	JODELLE, Étienne	DIDON SE SACRIFIANT, TRAGÉDIE.	theatre	tragedy	Rome	2	41.89193, 12.51133
56	JODELLE_DIDON	JODELLE, Étienne	DIDON SE SACRIFIANT, TRAGÉDIE.	theatre	tragedy	Scythie	2	42.5, 27.5
57	JODELLE_DIDON	JODELLE, Étienne	DIDON SE SACRIFIANT, TRAGÉDIE.	theatre	tragedy	Thèbes	1	38.319156, 23.317577
58	JODELLE_DIDON	JODELLE, Étienne	DIDON SE SACRIFIANT, TRAGÉDIE.	theatre	tragedy	Tibre	1	41.74032, 12.23371
59	JODELLE_DIDON	JODELLE, Étienne	DIDON SE SACRIFIANT, TRAGÉDIE.	theatre	tragedy	Troie	17	39.9574327844, 26.2384586227
60	JODELLE_DIDON	JODELLE, Étienne	DIDON SE SACRIFIANT, TRAGÉDIE.	theatre	tragedy	Tyr	9	33.2698475, 35.2038435
61	JODELLE_DIDON	JODELLE, Étienne	DIDON SE SACRIFIANT, TRAGÉDIE.	theatre	tragedy	Vésuve	1	40.82293, 14.42874
62	VOLTAIRE_OLYMPIE	VOLTAIRE (1694-1778)	OLYMPIE, TRAGÉDIE EN CINQ ACTES.	theatre	tragedy	Asie	11	29.84064, 89.29688
